peso_entrevista,peso_examen_mec
31158.494991,39833.751858
16254.507011,20310.688435
42886.086257,59789.640397
49941.423986,63607.189117
12150.610985,16235.026291
43543.634885,77652.409569
35047.031102,34615.265503
33050.051273,45956.284488
21349.972692,24267.690503
13716.345135,18451.197378
14056.580164,16613.037109
14091.857575,18653.059614
131798.586744,149429.836127
43521.350487,53119.95695
9100.274698,9277.713597
29370.907276,46801.539396
49925.956622,73464.881242
19229.509402,22111.482501
37868.392219,47754.476073
12736.294815,12648.859496
10629.87714,18914.604437
22161.432134,29265.963563
11012.453204,17488.959314
12478.317339,15634.782484
96698.570253,97841.00142
9160.177015,13289.066881
40969.076651,58924.881564
32511.841359,28681.908273
37153.630461,45110.021394
10911.163039,14578.9392
40839.135831,51333.753336
18952.066773,20756.951511
50042.898296,48066.322882
7264.931642,7363.412675
45466.625365,51952.581274
31053.129468,39574.182162
71270.160048,80753.117382
44118.081904,59003.731842
17294.185837,18426.734821
6480.090523,7293.902701
27380.71937,26653.185576
18787.941948,24026.001711
15197.292503,17159.714378
34383.797961,52151.258229
11347.780187,11567.772816
79014.864616,93247.127011
20213.470441,25029.128405
76039.621541,77440.881542
60369.58451,104879.99615
23228.718135,23834.349834
14030.088296,18873.24399
51611.125429,107472.829092
25325.485061,34639.143955
75760.070089,87689.48789
21901.352549,22853.522313
47764.090233,77976.070379
23532.875484,29281.684507
17600.278126,24473.286954
47556.699354,49440.14697
7270.042734,10602.531545
42615.031096,49180.589147
35971.681541,58732.164707
30434.112256,34556.623438
40296.949602,63995.887114
115505.679207,131108.729588
50465.435064,56255.101094
42404.072093,55984.010306
20604.693843,29426.312987
26984.165665,32007.826867
84019.150633,115714.800603
32656.211125,44724.91366
45865.14459,58073.785698
33231.266619,41652.377229
34637.543638,48139.714473
24143.551375,29774.901848
55823.676581,64541.709009
36441.092379,51964.194338
15154.160747,15788.084666
67831.758283,69714.178514
41569.012749,51166.044573
7260.206881,9553.223629
27999.777343,45746.870653
24143.551375,39572.059897
51130.954675,67467.120789
32671.579091,36748.366266
24723.131483,25447.234559
45947.218894,68053.529806
37063.601953,49479.110388
48087.771599,61401.021221
24446.287472,31188.484125
12295.605308,13058.407503
12847.720654,15713.433824
32581.124505,35177.331658
35274.828755,41121.018159
25153.308432,31378.456804
18301.773957,19051.566084
44157.12293,57958.503907
49541.355625,53916.60041
10892.850404,11564.106593
13738.044238,15536.324116
53833.509582,58464.872788
27720.27813,30593.505823
16148.781807,17766.658021
20340.498347,23689.101185
30562.349281,27324.689746
18935.956721,21809.09187
39681.857376,41272.354344
77296.658204,100003.432086
34217.115986,36214.354904
26821.329815,36013.063352
34222.584741,62720.642273
8749.714857,9231.445073
24683.091267,29414.395764
25172.729765,26488.509051
16459.015513,18791.273868
104955.485226,129554.792161
50594.166987,78214.350613
26079.431546,43336.372273
55300.737331,60330.515604
31993.94298,41186.090644
16553.890952,19204.002878
59523.439552,70196.781078
12437.349486,17931.055696
39034.766932,44359.574856
31192.028809,44646.991996
30265.323694,31783.259387
14875.028471,16504.730439
123797.920986,146405.228178
27410.61622,37764.902401
44187.668665,38692.808032
43338.479825,52960.673013
61418.100516,110766.657087
45205.885049,53059.515837
27410.61622,38961.514547
23669.875506,28761.517159
16234.869396,16714.715904
99156.999508,149747.686676
40538.138591,62041.768172
16471.589789,17264.603767
22956.40846,26037.884002
77592.580666,89513.439684
22214.389482,24681.72895
37160.25072,56901.99389
51397.71786,63430.008772
65797.245956,116690.950196
67835.524571,91161.609578
